"","Survived","Pclass","Sex","Age","Fare","Embarked"
"523","Muere","Baja","male","Adulto",7.225,"C"
"524","Sobrevive","Alta","female","Adulto",57.9792,"C"
"525","Muere","Baja","male","Adulto",7.2292,"C"
"526","Muere","Baja","male","Adulto",7.75,"Q"
"527","Sobrevive","Media","female","Adulto",10.5,"S"
"528","Muere","Alta","male","Adulto",221.7792,"S"
"529","Muere","Baja","male","Adulto",7.925,"S"
"530","Muere","Media","male","Adulto",11.5,"S"
"531","Sobrevive","Media","female","niño",26,"S"
"532","Muere","Baja","male","Adulto",7.2292,"C"
"533","Muere","Baja","male","niño",7.2292,"C"
"534","Sobrevive","Baja","female","niño",22.3583,"C"
"535","Muere","Baja","female","Adulto",8.6625,"S"
"536","Sobrevive","Media","female","niño",26.25,"S"
"537","Muere","Alta","male","Adulto",26.55,"S"
"538","Sobrevive","Alta","female","Adulto",106.425,"C"
"539","Muere","Baja","male","Adulto",14.5,"S"
"540","Sobrevive","Alta","female","Adulto",49.5,"C"
"541","Sobrevive","Alta","female","Adulto",71,"S"
"542","Muere","Baja","female","niño",31.275,"S"
"543","Muere","Baja","female","niño",31.275,"S"
"544","Sobrevive","Media","male","Adulto",26,"S"
"545","Muere","Alta","male","Adulto",106.425,"C"
"546","Muere","Alta","male","Adulto",26,"S"
"547","Sobrevive","Media","female","Adulto",26,"S"
"548","Sobrevive","Media","male","Adulto",13.8625,"C"
"549","Muere","Baja","male","Adulto",20.525,"S"
"550","Sobrevive","Media","male","niño",36.75,"S"
"551","Sobrevive","Alta","male","niño",110.8833,"C"
"552","Muere","Media","male","Adulto",26,"S"
"553","Muere","Baja","male","Adulto",7.8292,"Q"
"554","Sobrevive","Baja","male","Adulto",7.225,"C"
"555","Sobrevive","Baja","female","Adulto",7.775,"S"
"556","Muere","Alta","male","Adulto",26.55,"S"
"557","Sobrevive","Alta","female","Adulto",39.6,"C"
"558","Muere","Alta","male","Adulto",227.525,"C"
"559","Sobrevive","Alta","female","Adulto",79.65,"S"
"560","Sobrevive","Baja","female","Adulto",17.4,"S"
"561","Muere","Baja","male","Adulto",7.75,"Q"
"562","Muere","Baja","male","Adulto",7.8958,"S"
"563","Muere","Media","male","Adulto",13.5,"S"
"564","Muere","Baja","male","Adulto",8.05,"S"
"565","Muere","Baja","female","Adulto",8.05,"S"
"566","Muere","Baja","male","Adulto",24.15,"S"
"567","Muere","Baja","male","Adulto",7.8958,"S"
"568","Muere","Baja","female","Adulto",21.075,"S"
"569","Muere","Baja","male","Adulto",7.2292,"C"
"570","Sobrevive","Baja","male","Adulto",7.8542,"S"
"571","Sobrevive","Media","male","Adulto",10.5,"S"
"572","Sobrevive","Alta","female","Adulto",51.4792,"S"
"573","Sobrevive","Alta","male","Adulto",26.3875,"S"
"574","Sobrevive","Baja","female","Adulto",7.75,"Q"
"575","Muere","Baja","male","niño",8.05,"S"
"576","Muere","Baja","male","Adulto",14.5,"S"
"577","Sobrevive","Media","female","Adulto",13,"S"
"578","Sobrevive","Alta","female","Adulto",55.9,"S"
"579","Muere","Baja","female","Adulto",14.4583,"C"
"580","Sobrevive","Baja","male","Adulto",7.925,"S"
"581","Sobrevive","Media","female","Adulto",30,"S"
"582","Sobrevive","Alta","female","Adulto",110.8833,"C"
"583","Muere","Media","male","Adulto",26,"S"
"584","Muere","Alta","male","Adulto",40.125,"C"
"585","Muere","Baja","male","Adulto",8.7125,"C"
"586","Sobrevive","Alta","female","niño",79.65,"S"
"587","Muere","Media","male","Adulto",15,"S"
"588","Sobrevive","Alta","male","Adulto",79.2,"C"
"589","Muere","Baja","male","Adulto",8.05,"S"
"590","Muere","Baja","male","Adulto",8.05,"S"
"591","Muere","Baja","male","Adulto",7.125,"S"
"592","Sobrevive","Alta","female","Adulto",78.2667,"C"
"593","Muere","Baja","male","Adulto",7.25,"S"
"594","Muere","Baja","female","Adulto",7.75,"Q"
"595","Muere","Media","male","Adulto",26,"S"
"596","Muere","Baja","male","Adulto",24.15,"S"
"597","Sobrevive","Media","female","niño",33,"S"
"598","Muere","Baja","male","Adulto",0,"S"
"599","Muere","Baja","male","Adulto",7.225,"C"
"600","Sobrevive","Alta","male","Adulto",56.9292,"C"
"601","Sobrevive","Media","female","Adulto",27,"S"
"602","Muere","Baja","male","Adulto",7.8958,"S"
"603","Muere","Alta","male","Adulto",42.4,"S"
"604","Muere","Baja","male","Adulto",8.05,"S"
"605","Sobrevive","Alta","male","Adulto",26.55,"C"
"606","Muere","Baja","male","Adulto",15.55,"S"
"607","Muere","Baja","male","Adulto",7.8958,"S"
"608","Sobrevive","Alta","male","Adulto",30.5,"S"
"609","Sobrevive","Media","female","Adulto",41.5792,"C"
"610","Sobrevive","Alta","female","Adulto",153.4625,"S"
"611","Muere","Baja","female","Adulto",31.275,"S"
"612","Muere","Baja","male","Adulto",7.05,"S"
"613","Sobrevive","Baja","female","Adulto",15.5,"Q"
"614","Muere","Baja","male","Adulto",7.75,"Q"
"615","Muere","Baja","male","Adulto",8.05,"S"
"616","Sobrevive","Media","female","Adulto",65,"S"
"617","Muere","Baja","male","Adulto",14.4,"S"
"618","Muere","Baja","female","Adulto",16.1,"S"
"619","Sobrevive","Media","female","niño",39,"S"
"620","Muere","Media","male","Adulto",10.5,"S"
"621","Muere","Baja","male","Adulto",14.4542,"C"
"622","Sobrevive","Alta","male","Adulto",52.5542,"S"
"623","Sobrevive","Baja","male","Adulto",15.7417,"C"
"624","Muere","Baja","male","Adulto",7.8542,"S"
"625","Muere","Baja","male","Adulto",16.1,"S"
"626","Muere","Alta","male","Adulto",32.3208,"S"
"627","Muere","Media","male","Adulto",12.35,"Q"
"628","Sobrevive","Alta","female","Adulto",77.9583,"S"
"629","Muere","Baja","male","Adulto",7.8958,"S"
"630","Muere","Baja","male","Adulto",7.7333,"Q"
"631","Sobrevive","Alta","male","Adulto",30,"S"
"632","Muere","Baja","male","Adulto",7.0542,"S"
"633","Sobrevive","Alta","male","Adulto",30.5,"C"
"634","Muere","Alta","male","Adulto",0,"S"
"635","Muere","Baja","female","niño",27.9,"S"
"636","Sobrevive","Media","female","Adulto",13,"S"
"637","Muere","Baja","male","Adulto",7.925,"S"
"638","Muere","Media","male","Adulto",26.25,"S"
"639","Muere","Baja","female","Adulto",39.6875,"S"
"640","Muere","Baja","male","Adulto",16.1,"S"
"641","Muere","Baja","male","Adulto",7.8542,"S"
"642","Sobrevive","Alta","female","Adulto",69.3,"C"
"643","Muere","Baja","female","niño",27.9,"S"
"644","Sobrevive","Baja","male","Adulto",56.4958,"S"
"645","Sobrevive","Baja","female","niño",19.2583,"C"
"646","Sobrevive","Alta","male","Adulto",76.7292,"C"
"647","Muere","Baja","male","Adulto",7.8958,"S"
"648","Sobrevive","Alta","male","Adulto",35.5,"C"
"649","Muere","Baja","male","Adulto",7.55,"S"
"650","Sobrevive","Baja","female","Adulto",7.55,"S"
"651","Muere","Baja","male","Adulto",7.8958,"S"
"652","Sobrevive","Media","female","niño",23,"S"
"653","Muere","Baja","male","Adulto",8.4333,"S"
"654","Sobrevive","Baja","female","Adulto",7.8292,"Q"
"655","Muere","Baja","female","niño",6.75,"Q"
"656","Muere","Media","male","Adulto",73.5,"S"
"657","Muere","Baja","male","Adulto",7.8958,"S"
"658","Muere","Baja","female","Adulto",15.5,"Q"
"659","Muere","Media","male","Adulto",13,"S"
"660","Muere","Alta","male","Adulto",113.275,"C"
"661","Sobrevive","Alta","male","Adulto",133.65,"S"
"662","Muere","Baja","male","Adulto",7.225,"C"
"663","Muere","Alta","male","Adulto",25.5875,"S"
"664","Muere","Baja","male","Adulto",7.4958,"S"
"665","Sobrevive","Baja","male","Adulto",7.925,"S"
"666","Muere","Media","male","Adulto",73.5,"S"
"667","Muere","Media","male","Adulto",13,"S"
"668","Muere","Baja","male","Adulto",7.775,"S"
"669","Muere","Baja","male","Adulto",8.05,"S"
"670","Sobrevive","Alta","female","Adulto",52,"S"
"671","Sobrevive","Media","female","Adulto",39,"S"
"672","Muere","Alta","male","Adulto",52,"S"
"673","Muere","Media","male","Adulto",10.5,"S"
"674","Sobrevive","Media","male","Adulto",13,"S"
"675","Muere","Media","male","Adulto",0,"S"
"676","Muere","Baja","male","niño",7.775,"S"
"677","Muere","Baja","male","Adulto",8.05,"S"
"678","Sobrevive","Baja","female","niño",9.8417,"S"
"679","Muere","Baja","female","Adulto",46.9,"S"
"680","Sobrevive","Alta","male","Adulto",512.3292,"C"
"681","Muere","Baja","female","Adulto",8.1375,"Q"
"682","Sobrevive","Alta","male","Adulto",76.7292,"C"
"683","Muere","Baja","male","Adulto",9.225,"S"
"684","Muere","Baja","male","niño",46.9,"S"
"685","Muere","Media","male","Adulto",39,"S"
"686","Muere","Media","male","Adulto",41.5792,"C"
"687","Muere","Baja","male","niño",39.6875,"S"
"688","Muere","Baja","male","Adulto",10.1708,"S"
"689","Muere","Baja","male","niño",7.7958,"S"
"690","Sobrevive","Alta","female","niño",211.3375,"S"
"691","Sobrevive","Alta","male","Adulto",57,"S"
"692","Sobrevive","Baja","female","niño",13.4167,"C"
"693","Sobrevive","Baja","male","Adulto",56.4958,"S"
"694","Muere","Baja","male","Adulto",7.225,"C"
"695","Muere","Alta","male","Adulto",26.55,"S"
"696","Muere","Media","male","Adulto",13.5,"S"
"697","Muere","Baja","male","Adulto",8.05,"S"
"698","Sobrevive","Baja","female","Adulto",7.7333,"Q"
"699","Muere","Alta","male","Adulto",110.8833,"C"
"700","Muere","Baja","male","Adulto",7.65,"S"
"701","Sobrevive","Alta","female","niño",227.525,"C"
"702","Sobrevive","Alta","male","Adulto",26.2875,"S"
"703","Muere","Baja","female","niño",14.4542,"C"
"704","Muere","Baja","male","Adulto",7.7417,"Q"
"705","Muere","Baja","male","Adulto",7.8542,"S"
"706","Muere","Media","male","Adulto",26,"S"
"707","Sobrevive","Media","female","Adulto",13.5,"S"
"708","Sobrevive","Alta","male","Adulto",26.2875,"S"
"709","Sobrevive","Alta","female","Adulto",151.55,"S"
"710","Sobrevive","Baja","male","Adulto",15.2458,"C"
"711","Sobrevive","Alta","female","Adulto",49.5042,"C"
"712","Muere","Alta","male","Adulto",26.55,"S"
"713","Sobrevive","Alta","male","Adulto",52,"S"
"714","Muere","Baja","male","Adulto",9.4833,"S"
"715","Muere","Media","male","Adulto",13,"S"
"716","Muere","Baja","male","Adulto",7.65,"S"
"717","Sobrevive","Alta","female","Adulto",227.525,"C"
"718","Sobrevive","Media","female","Adulto",10.5,"S"
"719","Muere","Baja","male","Adulto",15.5,"Q"
"720","Muere","Baja","male","Adulto",7.775,"S"
"721","Sobrevive","Media","female","niño",33,"S"
"722","Muere","Baja","male","niño",7.0542,"S"
"723","Muere","Media","male","Adulto",13,"S"
"724","Muere","Media","male","Adulto",13,"S"
"725","Sobrevive","Alta","male","Adulto",53.1,"S"
"726","Muere","Baja","male","Adulto",8.6625,"S"
"727","Sobrevive","Media","female","Adulto",21,"S"
"728","Sobrevive","Baja","female","Adulto",7.7375,"Q"
"729","Muere","Media","male","Adulto",26,"S"
"730","Muere","Baja","female","Adulto",7.925,"S"
"731","Sobrevive","Alta","female","Adulto",211.3375,"S"
"732","Muere","Baja","male","niño",18.7875,"C"
"733","Muere","Media","male","Adulto",0,"S"
"734","Muere","Media","male","Adulto",13,"S"
"735","Muere","Media","male","Adulto",13,"S"
"736","Muere","Baja","male","Adulto",16.1,"S"
"737","Muere","Baja","female","Adulto",34.375,"S"
"738","Sobrevive","Alta","male","Adulto",512.3292,"C"
"739","Muere","Baja","male","Adulto",7.8958,"S"
"740","Muere","Baja","male","Adulto",7.8958,"S"
"741","Sobrevive","Alta","male","Adulto",30,"S"
"742","Muere","Alta","male","Adulto",78.85,"S"
"743","Sobrevive","Alta","female","Adulto",262.375,"C"
"744","Muere","Baja","male","Adulto",16.1,"S"
"745","Sobrevive","Baja","male","Adulto",7.925,"S"
"746","Muere","Alta","male","Adulto",71,"S"
"747","Muere","Baja","male","niño",20.25,"S"
"748","Sobrevive","Media","female","Adulto",13,"S"
"749","Muere","Alta","male","Adulto",53.1,"S"
"750","Muere","Baja","male","Adulto",7.75,"Q"
"751","Sobrevive","Media","female","niño",23,"S"
"752","Sobrevive","Baja","male","niño",12.475,"S"
"753","Muere","Baja","male","Adulto",9.5,"S"
"754","Muere","Baja","male","Adulto",7.8958,"S"
"755","Sobrevive","Media","female","Adulto",65,"S"
"756","Sobrevive","Media","male","niño",14.5,"S"
"757","Muere","Baja","male","Adulto",7.7958,"S"
"758","Muere","Media","male","niño",11.5,"S"
"759","Muere","Baja","male","Adulto",8.05,"S"
"760","Sobrevive","Alta","female","Adulto",86.5,"S"
"761","Muere","Baja","male","Adulto",14.5,"S"
"762","Muere","Baja","male","Adulto",7.125,"S"
"763","Sobrevive","Baja","male","Adulto",7.2292,"C"
"764","Sobrevive","Alta","female","Adulto",120,"S"
"765","Muere","Baja","male","niño",7.775,"S"
"766","Sobrevive","Alta","female","Adulto",77.9583,"S"
"767","Muere","Alta","male","Adulto",39.6,"C"
"768","Muere","Baja","female","Adulto",7.75,"Q"
"769","Muere","Baja","male","Adulto",24.15,"Q"
"770","Muere","Baja","male","Adulto",8.3625,"S"
"771","Muere","Baja","male","Adulto",9.5,"S"
"772","Muere","Baja","male","Adulto",7.8542,"S"
"773","Muere","Media","female","Adulto",10.5,"S"
"774","Muere","Baja","male","Adulto",7.225,"C"
"775","Sobrevive","Media","female","Adulto",23,"S"
"776","Muere","Baja","male","niño",7.75,"S"
"777","Muere","Baja","male","Adulto",7.75,"Q"
"778","Sobrevive","Baja","female","niño",12.475,"S"
"779","Muere","Baja","male","Adulto",7.7375,"Q"
"780","Sobrevive","Alta","female","Adulto",211.3375,"S"
"781","Sobrevive","Baja","female","niño",7.2292,"C"
"782","Sobrevive","Alta","female","niño",57,"S"
"783","Muere","Alta","male","Adulto",30,"S"
"784","Muere","Baja","male","Adulto",23.45,"S"
"785","Muere","Baja","male","Adulto",7.05,"S"
"786","Muere","Baja","male","Adulto",7.25,"S"
"787","Sobrevive","Baja","female","niño",7.4958,"S"
"788","Muere","Baja","male","niño",29.125,"Q"
"789","Sobrevive","Baja","male","niño",20.575,"S"
"790","Muere","Alta","male","Adulto",79.2,"C"
"791","Muere","Baja","male","Adulto",7.75,"Q"
"792","Muere","Media","male","niño",26,"S"
"793","Muere","Baja","female","niño",69.55,"S"
"794","Muere","Alta","male","Adulto",30.6958,"C"
"795","Muere","Baja","male","Adulto",7.8958,"S"
"796","Muere","Media","male","Adulto",13,"S"
"797","Sobrevive","Alta","female","Adulto",25.9292,"S"
"798","Sobrevive","Baja","female","Adulto",8.6833,"S"
"799","Muere","Baja","male","Adulto",7.2292,"C"
"800","Muere","Baja","female","Adulto",24.15,"S"
"801","Muere","Media","male","Adulto",13,"S"
"802","Sobrevive","Media","female","Adulto",26.25,"S"
"803","Sobrevive","Alta","male","niño",120,"S"
"804","Sobrevive","Baja","male","niño",8.5167,"C"
"805","Sobrevive","Baja","male","Adulto",6.975,"S"
"806","Muere","Baja","male","Adulto",7.775,"S"
"807","Muere","Alta","male","Adulto",0,"S"
"808","Muere","Baja","female","niño",7.775,"S"
"809","Muere","Media","male","Adulto",13,"S"
"810","Sobrevive","Alta","female","Adulto",53.1,"S"
"811","Muere","Baja","male","Adulto",7.8875,"S"
"812","Muere","Baja","male","Adulto",24.15,"S"
"813","Muere","Media","male","Adulto",10.5,"S"
"814","Muere","Baja","female","niño",31.275,"S"
"815","Muere","Baja","male","Adulto",8.05,"S"
"816","Muere","Alta","male","Adulto",0,"S"
"817","Muere","Baja","female","Adulto",7.925,"S"
"818","Muere","Media","male","Adulto",37.0042,"C"
"819","Muere","Baja","male","Adulto",6.45,"S"
"820","Muere","Baja","male","niño",27.9,"S"
"821","Sobrevive","Alta","female","Adulto",93.5,"S"
"822","Sobrevive","Baja","male","Adulto",8.6625,"S"
"823","Muere","Alta","male","Adulto",0,"S"
"824","Sobrevive","Baja","female","Adulto",12.475,"S"
"825","Muere","Baja","male","niño",39.6875,"S"
"826","Muere","Baja","male","Adulto",6.95,"Q"
"827","Muere","Baja","male","niño",56.4958,"S"
"828","Sobrevive","Media","male","niño",37.0042,"C"
"829","Sobrevive","Baja","male","Adulto",7.75,"Q"
"830","Sobrevive","Alta","female","Adulto",80,"C"
"831","Sobrevive","Baja","female","niño",14.4542,"C"
"832","Sobrevive","Media","male","niño",18.75,"S"
"833","Muere","Baja","male","Adulto",7.2292,"C"
"834","Muere","Baja","male","Adulto",7.8542,"S"
"835","Muere","Baja","male","niño",8.3,"S"
"836","Sobrevive","Alta","female","Adulto",83.1583,"C"
"837","Muere","Baja","male","Adulto",8.6625,"S"
"838","Muere","Baja","male","Adulto",8.05,"S"
"839","Sobrevive","Baja","male","Adulto",56.4958,"S"
"840","Sobrevive","Alta","male","Adulto",29.7,"C"
"841","Muere","Baja","male","Adulto",7.925,"S"
"842","Muere","Media","male","niño",10.5,"S"
"843","Sobrevive","Alta","female","Adulto",31,"C"
"844","Muere","Baja","male","Adulto",6.4375,"C"
"845","Muere","Baja","male","niño",8.6625,"S"
"846","Muere","Baja","male","Adulto",7.55,"S"
"847","Muere","Baja","male","niño",69.55,"S"
"848","Muere","Baja","male","Adulto",7.8958,"C"
"849","Muere","Media","male","Adulto",33,"S"
"850","Sobrevive","Alta","female","Adulto",89.1042,"C"
"851","Muere","Baja","male","niño",31.275,"S"
"852","Muere","Baja","male","Adulto",7.775,"S"
"853","Muere","Baja","female","niño",15.2458,"C"
"854","Sobrevive","Alta","female","niño",39.4,"S"
"855","Muere","Media","female","Adulto",26,"S"
"856","Sobrevive","Baja","female","niño",9.35,"S"
"857","Sobrevive","Alta","female","Adulto",164.8667,"S"
"858","Sobrevive","Alta","male","Adulto",26.55,"S"
"859","Sobrevive","Baja","female","Adulto",19.2583,"C"
"860","Muere","Baja","male","Adulto",7.2292,"C"
"861","Muere","Baja","male","Adulto",14.1083,"S"
"862","Muere","Media","male","Adulto",11.5,"S"
"863","Sobrevive","Alta","female","Adulto",25.9292,"S"
"864","Muere","Baja","female","niño",69.55,"S"
"865","Muere","Media","male","Adulto",13,"S"
"866","Sobrevive","Media","female","Adulto",13,"S"
"867","Sobrevive","Media","female","Adulto",13.8583,"C"
"868","Muere","Alta","male","Adulto",50.4958,"S"
"869","Muere","Baja","male","Adulto",9.5,"S"
"870","Sobrevive","Baja","male","niño",11.1333,"S"
"871","Muere","Baja","male","Adulto",7.8958,"S"
"872","Sobrevive","Alta","female","Adulto",52.5542,"S"
"873","Muere","Alta","male","Adulto",5,"S"
"874","Muere","Baja","male","Adulto",9,"S"
"875","Sobrevive","Media","female","Adulto",24,"C"
"876","Sobrevive","Baja","female","niño",7.225,"C"
"877","Muere","Baja","male","Adulto",9.8458,"S"
"878","Muere","Baja","male","Adulto",7.8958,"S"
"879","Muere","Baja","male","Adulto",7.8958,"S"
"880","Sobrevive","Alta","female","Adulto",83.1583,"C"
"881","Sobrevive","Media","female","Adulto",26,"S"
"882","Muere","Baja","male","Adulto",7.8958,"S"
"883","Muere","Baja","female","Adulto",10.5167,"S"
"884","Muere","Media","male","Adulto",10.5,"S"
"885","Muere","Baja","male","Adulto",7.05,"S"
"886","Muere","Baja","female","Adulto",29.125,"Q"
"887","Muere","Media","male","Adulto",13,"S"
"888","Sobrevive","Alta","female","Adulto",30,"S"
"889","Muere","Baja","female","Adulto",23.45,"S"
"890","Sobrevive","Alta","male","Adulto",30,"C"
"891","Muere","Baja","male","Adulto",7.75,"Q"
